Id,Date,Open,High,Low,Close,Volume,Turnover,Indices
1,03-10-2011,2877.75,2877.75,2798.5,2804.7,44481268,11592900000,NIFTY METAL
2,04-10-2011,2789,2835.4,2726.6,2760.45,44854372,10473800000,NIFTY METAL
3,05-10-2011,2782.1,2808.3,2738.85,2745.3,52547557,10377400000,NIFTY METAL
4,07-10-2011,2832.5,2895.8,2832.5,2889.55,51353782,11318100000,NIFTY METAL
5,10-10-2011,2886.45,2951.9,2876.35,2943.7,53634854,12313900000,NIFTY METAL
6,11-10-2011,2975.45,2999.2,2949.5,2972.85,50649690,11535800000,NIFTY METAL
7,12-10-2011,2985.95,3046.05,2972.8,3037.75,45338758,11200100000,NIFTY METAL
8,13-10-2011,3050.75,3051,2996.5,3013.95,40668023,10127000000,NIFTY METAL
9,14-10-2011,2987.1,2998.3,2943.4,2987.9,44775685,11271600000,NIFTY METAL
10,17-10-2011,3005.85,3011.1,2958.85,2983.75,32030741,7383000000,NIFTY METAL
11,18-10-2011,2934.75,2948.2,2909.75,2941.1,36507440,9224400000,NIFTY METAL
12,19-10-2011,2974.6,2997.15,2971,2988.7,27176294,6634200000,NIFTY METAL
13,20-10-2011,2955.8,2978.6,2919.65,2972.05,28866092,7593900000,NIFTY METAL
14,21-10-2011,2984.4,2991.25,2924.15,2932.85,25074601,6283600000,NIFTY METAL
15,24-10-2011,2976.05,2995.65,2925.95,2942.95,29282263,6549800000,NIFTY METAL
16,25-10-2011,2962,3014.6,2938.85,3004.8,45334630,9970200000,NIFTY METAL
17,26-10-2011,3020.7,3031.4,3014.7,3020.6,8243583,1820600000,NIFTY METAL
18,28-10-2011,3126,3256.45,3126,3220.05,80504838,19305300000,NIFTY METAL
19,31-10-2011,3214.95,3214.95,3148.9,3157.15,35364930,8658500000,NIFTY METAL
20,01-11-2011,3130,3132.4,3082.5,3112.65,31191069,6780800000,NIFTY METAL
21,02-11-2011,3070.35,3129.35,3059.75,3105.2,26277246,6491400000,NIFTY METAL
22,03-11-2011,3095,3107.05,3052.85,3096.35,36451039,8126900000,NIFTY METAL
23,04-11-2011,3135.7,3172.45,3134,3145.85,39621566,10373000000,NIFTY METAL
24,08-11-2011,3165.55,3172.5,3127.7,3148.75,21167273,5609200000,NIFTY METAL
25,09-11-2011,3160.1,3174.8,3052.2,3062.8,31232043,8138400000,NIFTY METAL
26,11-11-2011,3025.55,3025.55,2967.6,2989.7,36762080,8987600000,NIFTY METAL
27,14-11-2011,3019.5,3028.15,2914.25,2922.55,28401065,7452600000,NIFTY METAL
28,15-11-2011,2920.45,2944.15,2852.4,2866.4,29917611,7953700000,NIFTY METAL
29,16-11-2011,2861.6,2910,2809.2,2868.45,37887407,9411900000,NIFTY METAL
30,17-11-2011,2871.4,2879.5,2793.05,2806.3,37646924,8422000000,NIFTY METAL
